director,movie_name,ranking,score,score_num,year
丹尼斯·甘塞尔,浪潮,224,8.7,191730,2008
史蒂芬·戴德利,朗读者,225,8.5,355612,2008
Charles,城市之光,226,9.3,79137,1931
爱德华·兹威克,血钻,227,8.6,233047,2006
是枝裕和,步履不停,228,8.8,164358,2008
詹姆斯·沃德·布柯特,彗星来的那一夜,229,8.5,328530,2013
乔治·米勒,疯狂的麦克斯4：狂暴之路,230,8.6,342949,2015
约翰·卡尼,再次出发之纽约遇见你,231,8.5,280634,2013
卡比尔·汗,小萝莉的猴神大叔,232,8.4,324356,2015
李安,色，戒,233,8.4,438161,2007
克里斯托弗·诺兰,追随,234,8.9,122793,1998
黄信尧,大佛普拉斯,235,8.7,242038,2017
罗伯·莱纳,遗愿清单,236,8.6,235363,2007
阿斯哈·法哈蒂,一次别离,237,8.7,186203,2011
小津安二郎,东京物语,238,9.2,84073,1953
托马斯·麦卡锡,聚焦,239,8.8,195117,2015
周申,驴得水,240,8.3,608580,2016
雷德利·斯科特,黑鹰坠落,241,8.7,195054,2001
Stanley,发条橙,242,8.5,266866,1971
保罗·哈吉斯,撞车,243,8.6,239545,2004
秋昌民,我爱你,244,9.0,99703,2011
安德鲁·尼科尔,千钧一发,245,8.8,156534,1997
史蒂文·斯皮尔伯格,E.T. 外星人,246,8.6,240789,1982
达伦·阿伦诺夫斯基,梦之安魂曲,247,8.7,157052,2000
陆庆屹,四个春天,248,8.9,106757,2017
阿尼什·查甘蒂,网络谜踪,249,8.6,351398,2018
吴宇森,变脸,250,8.5,302768,1997
